ContractID,CustomerID,Contract,PaperlessBilling,PaymentMethod
21130,0002-ORFBO,One year,Yes,Mailed check
21131,0003-MKNFE,Month-to-month,No,Mailed check
21132,0004-TLHLJ,Month-to-month,Yes,Electronic check
21133,0011-IGKFF,Month-to-month,Yes,Electronic check
21134,0013-EXCHZ,Month-to-month,Yes,Mailed check
21135,0013-MHZWF,Month-to-month,Yes,Credit card (automatic)
21136,0013-SMEOE,Two year,Yes,Bank transfer (automatic)
21137,0014-BMAQU,Two year,Yes,Credit card (automatic)
21138,0015-UOCOJ,Month-to-month,Yes,Electronic check
21139,0016-QLJIS,Two year,Yes,Mailed check
21140,0017-DINOC,Two year,No,Credit card (automatic)
21141,0017-IUDMW,Two year,Yes,Credit card (automatic)
21142,0018-NYROU,Month-to-month,Yes,Electronic check
21143,0019-EFAEP,Two year,Yes,Bank transfer (automatic)
21144,0019-GFNTW,Two year,No,Bank transfer (automatic)
21145,0020-INWCK,Two year,Yes,Credit card (automatic)
21146,0020-JDNXP,One year,No,Mailed check
21147,0021-IKXGC,Month-to-month,Yes,Electronic check
21148,0022-TCJCI,One year,No,Credit card (automatic)
21149,0023-HGHWL,Month-to-month,Yes,Electronic check
21150,0023-UYUPN,One year,No,Electronic check
21151,0023-XUOPT,Month-to-month,No,Electronic check
21152,0027-KWYKW,Month-to-month,Yes,Electronic check
21153,0030-FNXPP,Month-to-month,No,Mailed check
21154,0031-PVLZI,Month-to-month,No,Mailed check
21155,0032-PGELS,Month-to-month,No,Bank transfer (automatic)
21156,0036-IHMOT,One year,Yes,Bank transfer (automatic)
21157,0040-HALCW,Two year,No,Credit card (automatic)
21158,0042-JVWOJ,One year,Yes,Bank transfer (automatic)
21159,0042-RLHYP,Two year,No,Bank transfer (automatic)
21160,0048-LUMLS,One year,No,Credit card (automatic)
21161,0048-PIHNL,One year,No,Bank transfer (automatic)
21162,0052-DCKON,One year,No,Bank transfer (automatic)
21163,0052-YNYOT,One year,No,Electronic check
21164,0056-EPFBG,Two year,Yes,Credit card (automatic)
21165,0057-QBUQH,Two year,Yes,Electronic check
21166,0058-EVZWM,Month-to-month,Yes,Bank transfer (automatic)
21167,0060-FUALY,Month-to-month,Yes,Electronic check
21168,0064-SUDOG,Two year,No,Bank transfer (automatic)
21169,0064-YIJGF,Month-to-month,Yes,Bank transfer (automatic)
21170,0067-DKWBL,Month-to-month,Yes,Electronic check
21171,0068-FIGTF,One year,No,Mailed check
21172,0071-NDAFP,Two year,No,Credit card (automatic)
21173,0074-HDKDG,One year,Yes,Bank transfer (automatic)
21174,0076-LVEPS,Month-to-month,Yes,Mailed check
21175,0078-XZMHT,Two year,Yes,Bank transfer (automatic)
21176,0080-EMYVY,One year,No,Credit card (automatic)
21177,0080-OROZO,One year,Yes,Electronic check
21178,0082-LDZUE,Month-to-month,Yes,Mailed check
21179,0082-OQIQY,Month-to-month,Yes,Electronic check
21180,0083-PIVIK,One year,No,Electronic check
21181,0089-IIQKO,Month-to-month,Yes,Credit card (automatic)
21182,0093-EXYQL,Month-to-month,Yes,Electronic check
21183,0093-XWZFY,Month-to-month,Yes,Credit card (automatic)
21184,0094-OIFMO,Month-to-month,Yes,Electronic check
21185,0096-BXERS,Month-to-month,No,Electronic check
21186,0096-FCPUF,Month-to-month,Yes,Mailed check
21187,0098-BOWSO,Month-to-month,Yes,Electronic check
21188,0100-DUVFC,One year,Yes,Electronic check
21189,0103-CSITQ,One year,Yes,Bank transfer (automatic)
21190,0104-PPXDV,One year,No,Credit card (automatic)
21191,0106-GHRQR,Month-to-month,Yes,Bank transfer (automatic)
21192,0106-UGRDO,Two year,Yes,Electronic check
21193,0107-WESLM,Month-to-month,Yes,Electronic check
21194,0107-YHINA,Month-to-month,Yes,Electronic check
21195,0111-KLBQG,Month-to-month,Yes,Mailed check
21196,0112-QAWRZ,Month-to-month,Yes,Bank transfer (automatic)
21197,0112-QWPNC,One year,No,Electronic check
21198,0114-IGABW,Two year,No,Bank transfer (automatic)
21199,0114-PEGZZ,Month-to-month,No,Electronic check
21200,0114-RSRRW,Month-to-month,Yes,Bank transfer (automatic)
21201,0115-TFERT,Month-to-month,Yes,Electronic check
21202,0117-LFRMW,Month-to-month,No,Bank transfer (automatic)
21203,0118-JPNOY,Month-to-month,Yes,Credit card (automatic)
21204,0121-SNYRK,One year,Yes,Mailed check
21205,0122-OAHPZ,Month-to-month,Yes,Electronic check
21206,0123-CRBRT,Two year,No,Mailed check
21207,0125-LZQXK,Month-to-month,Yes,Electronic check
21208,0128-MKWSG,Month-to-month,No,Mailed check
21209,0129-KPTWJ,Month-to-month,Yes,Electronic check
21210,0129-QMPDR,One year,Yes,Bank transfer (automatic)
21211,0130-SXOUN,Month-to-month,No,Credit card (automatic)
21212,0133-BMFZO,Month-to-month,Yes,Electronic check
21213,0134-XWXCE,One year,No,Bank transfer (automatic)
21214,0135-NMXAP,Month-to-month,Yes,Bank transfer (automatic)
21215,0136-IFMYD,Two year,Yes,Electronic check
21216,0137-OCGAB,Month-to-month,Yes,Mailed check
21217,0137-UDEUO,Month-to-month,No,Mailed check
21218,0139-IVFJG,Month-to-month,No,Electronic check
21219,0141-YEAYS,Month-to-month,Yes,Bank transfer (automatic)
21220,0142-GVYSN,Month-to-month,Yes,Electronic check
21221,0147-ESWWR,Month-to-month,Yes,Electronic check
