ServiceID,CustomerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
14087,0002-ORFBO,Yes,No,DSL,No,Yes,No,Yes,Yes,No
14088,0003-MKNFE,Yes,Yes,DSL,No,No,No,No,No,Yes
14089,0004-TLHLJ,Yes,No,Fiber optic,No,No,Yes,No,No,No
14090,0011-IGKFF,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
14091,0013-EXCHZ,Yes,No,Fiber optic,No,No,No,Yes,Yes,No
14092,0013-MHZWF,Yes,No,DSL,No,No,No,Yes,Yes,Yes
14093,0013-SMEOE,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
14094,0014-BMAQU,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No
14095,0015-UOCOJ,Yes,No,DSL,Yes,No,No,No,No,No
14096,0016-QLJIS,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
14097,0017-DINOC,No,No phone service,DSL,Yes,No,No,Yes,Yes,No
14098,0017-IUDMW,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
14099,0018-NYROU,Yes,No,Fiber optic,No,No,No,No,No,No
14100,0019-EFAEP,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No
14101,0019-GFNTW,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
14102,0020-INWCK,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
14103,0020-JDNXP,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
14104,0021-IKXGC,Yes,Yes,Fiber optic,No,No,No,No,No,No
14105,0022-TCJCI,Yes,No,DSL,Yes,No,Yes,No,No,Yes
14106,0023-HGHWL,No,No phone service,DSL,No,No,No,No,No,No
14107,0023-UYUPN,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14108,0023-XUOPT,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
14109,0027-KWYKW,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
14110,0030-FNXPP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14111,0031-PVLZI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14112,0032-PGELS,No,No phone service,DSL,Yes,No,No,No,No,No
14113,0036-IHMOT,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
14114,0040-HALCW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14115,0042-JVWOJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14116,0042-RLHYP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14117,0048-LUMLS,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
14118,0048-PIHNL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14119,0052-DCKON,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
14120,0052-YNYOT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14121,0056-EPFBG,No,No phone service,DSL,Yes,No,Yes,Yes,No,No
14122,0057-QBUQH,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14123,0058-EVZWM,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No
14124,0060-FUALY,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
14125,0064-SUDOG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14126,0064-YIJGF,Yes,Yes,Fiber optic,No,No,No,No,No,No
14127,0067-DKWBL,Yes,No,DSL,Yes,No,No,No,No,No
14128,0068-FIGTF,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
14129,0071-NDAFP,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14130,0074-HDKDG,Yes,No,DSL,Yes,Yes,Yes,No,No,No
14131,0076-LVEPS,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
14132,0078-XZMHT,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
14133,0080-EMYVY,Yes,No,DSL,No,Yes,No,No,No,No
14134,0080-OROZO,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
14135,0082-LDZUE,Yes,No,DSL,No,No,No,No,No,No
14136,0082-OQIQY,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
14137,0083-PIVIK,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
14138,0089-IIQKO,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
14139,0093-EXYQL,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
14140,0093-XWZFY,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
14141,0094-OIFMO,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
14142,0096-BXERS,Yes,Yes,DSL,No,No,No,No,No,No
14143,0096-FCPUF,Yes,Yes,DSL,Yes,No,No,No,No,Yes
14144,0098-BOWSO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14145,0100-DUVFC,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
14146,0103-CSITQ,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
14147,0104-PPXDV,Yes,No,DSL,No,No,Yes,No,No,No
14148,0106-GHRQR,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes
14149,0106-UGRDO,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
14150,0107-WESLM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
