SubscriptionID,CustomerID,Tenure,MonthlyCharges,TotalCharges,ChurnFlag
7044,7590-VHVEG,1,29.85,29.85,0
7045,5575-GNVDE,34,56.95,1889.5,0
7046,3668-QPYBK,2,53.85,108.15,1
7047,7795-CFOCW,45,42.3,1840.75,0
7048,9237-HQITU,2,70.7,151.65,1
7049,9305-CDSKC,8,99.65,820.5,1
7050,1452-KIOVK,22,89.1,1949.4,0
7051,6713-OKOMC,10,29.75,301.9,0
7052,7892-POOKP,28,104.8,3046.05,1
7053,6388-TABGU,62,56.15,3487.95,0
7054,9763-GRSKD,13,49.95,587.45,0
7055,7469-LKBCI,16,18.95,326.8,0
7056,8091-TTVAX,58,100.35,5681.1,0
7057,0280-XJGEX,49,103.7,5036.3,1
7058,5129-JLPIS,25,105.5,2686.05,0
7059,3655-SNQYZ,69,113.25,7895.15,0
7060,8191-XWSZG,52,20.65,1022.95,0
7061,9959-WOFKT,71,106.7,7382.25,0
7062,4190-MFLUW,10,55.2,528.35,1
7063,4183-MYFRB,21,90.05,1862.9,0
7064,8779-QRDMV,1,39.65,39.65,1
7065,1680-VDCWW,12,19.8,202.25,0
7066,1066-JKSGK,1,20.15,20.15,1
7067,3638-WEABW,58,59.9,3505.1,0
7068,6322-HRPFA,49,59.6,2970.3,0
7069,6865-JZNKO,30,55.3,1530.6,0
7070,6467-CHFZW,47,99.35,4749.15,1
7071,8665-UTDHZ,1,30.2,30.2,1
7072,5248-YGIJN,72,90.25,6369.45,0
7073,8773-HHUOZ,17,64.7,1093.1,1
7074,3841-NFECX,71,96.35,6766.95,0
7075,4929-XIHVW,2,95.5,181.65,0
7076,6827-IEAUQ,27,66.15,1874.45,0
7077,7310-EGVHZ,1,20.2,20.2,0
7078,3413-BMNZE,1,45.25,45.25,0
7079,6234-RAAPL,72,99.9,7251.7,0
7080,6047-YHPVI,5,69.7,316.9,1
7081,6572-ADKRS,46,74.8,3548.3,0
7082,5380-WJKOV,34,106.35,3549.25,1
7083,8168-UQWWF,11,97.85,1105.4,1
7084,8865-TNMNX,10,49.55,475.7,0
7085,9489-DEDVP,70,69.2,4872.35,0
7086,9867-JCZSP,17,20.75,418.25,0
7087,4671-VJLCL,63,79.85,4861.45,0
7088,4080-IIARD,13,76.2,981.45,0
7089,3714-NTNFO,49,84.5,3906.7,0
7090,5948-UJZLF,2,49.25,97.0,0
7091,7760-OYPDY,2,80.65,144.15,1
7092,7639-LIAYI,52,79.75,4217.8,0
7093,2954-PIBKO,69,64.15,4254.1,0
7094,8012-SOUDQ,43,90.25,3838.75,0
7095,9420-LOJKX,15,99.1,1426.4,1
